1,7939,15367,28748,41774,49603,49668,61390,63450,64153,65326,67271,71952,90295,114785
R-HSA-1059683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-109704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-110381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-111997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-113418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-114508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-114516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-114604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-114608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-1169091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-1169092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-1169408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
